hat_id,name,family,depth,creativity,scale,interaction,structure,influence,orientation_provenance,semantic_coverage,personal_proficiency,assessment_confidence,credentials,recognition,confirmed_claim_ids,review_status
"access-control-engineer","Access-Control Engineer","engineering","7.94","2.468","7.94","2.468","2.468","2.468","runtime-keyword-derived-legacy","direct:access-control; contextual:web-application; contextual:software-engineering; contextual:data-systems","not modelled","unverified","not modelled","not modelled","","required"
"acoustic-engineer","Acoustic Engineer","creative","2.54","8.012","2.54","2.54","2.54","2.54","runtime-keyword-derived-legacy","core:audio-medium; core:physical-audio-systems","not modelled","unverified","not modelled","not modelled","","required"
"application-engineer","Application Engineer","engineering","7.988","2.516","2.516","2.516","9.508","2.516","runtime-keyword-derived-legacy","direct:web-application; direct:build-activity; core:software-engineering; supporting:data-systems","not modelled","unverified","not modelled","not modelled","","required"
"asgi-service-runner-engineer","ASGI / Service Runner Engineer","engineering","7.995","2.523","2.523","7.995","7.995","2.523","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"audio-engineer","Audio Engineer","creative","8.82","8.567","8.06","8.06","2.588","9.58","runtime-keyword-derived-legacy","core:audio-engineering; core:studio-engineering; core:audio-medium; core:signal-flow-design; core:programme-audio-feed; core:audio-production","not modelled","unverified","not modelled","not modelled","philadelphia-broadcast-responsibility","required"
"audio-test-engineer","Audio Test Engineer","creative","7.866","7.866","7.866","7.866","2.394","2.394","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"automation-engineer","Automation Engineer","engineering","8.01","8.01","2.538","2.538","8.01","2.538","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"backend-engineer","Backend Engineer","engineering","8.668","8.06","8.06","8.06","8.06","8.06","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"backup-snapshot-engineer","Backup & Snapshot Engineer","engineering","7.746","7.746","7.746","2.274","2.274","2.274","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"bash-shell-engineer","Bash / Shell Engineer","engineering","7.89","2.418","7.89","2.418","7.89","2.418","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"bootstrap-engineer","Bootstrap Engineer","engineering","8.038","8.038","8.038","8.038","2.566","2.566","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"boundary-engineer","Boundary Engineer","engineering","8.096","8.096","8.096","7.336","2.624","2.624","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"brand-systems-engineer","Brand Systems Engineer","design","8.555","8.048","8.048","2.576","2.576","7.478","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"broadcast-audio-engineer","Broadcast Audio Engineer","creative","2.516","7.988","2.516","7.988","8.748","2.516","runtime-keyword-derived-legacy","core:audio-engineering; core:audio-medium; core:broadcast-audio-delivery; core:programme-audio-feed; core:signal-flow-design; core:live-broadcast","not modelled","unverified","not modelled","not modelled","philadelphia-broadcast-responsibility","required"
"cognitive-load-designer","Cognitive Load Designer","design","2.588","8.06","2.588","8.06","2.588","2.588","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"concept-engineer","Concept Engineer","creative","8.067","8.067","2.595","8.067","2.595","2.595","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"configuration-engineer","Configuration Engineer","engineering","7.899","7.899","7.899","2.427","7.139","2.427","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"control-systems-designer","Control Systems Designer","creative","8.149","8.149","8.149","8.149","2.677","2.677","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"creative-engineer","Creative Engineer","creative","8.216","8.216","8.216","8.216","8.216","2.744","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"creative-project-engineer","Creative Project Engineer","creative","2.394","7.866","2.394","7.106","2.394","2.394","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"creative-technologist","Creative Technologist","creative","8.154","8.154","8.154","2.682","2.682","2.682","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"data-engineer","Data Engineer","engineering","8.173","8.173","8.173","2.701","6.273","2.701","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"data-modeler","Data Modeler","engineering","8.178","2.706","8.178","2.706","8.178","2.706","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"database-engineer","Database Engineer","engineering","8.144","8.144","2.672","9.664","2.672","2.672","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"debug-diagnostics-engineer","Debug & Diagnostics Engineer","engineering","6.676","7.942","7.942","2.47","2.47","2.47","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"deployment-engineer","Deployment Engineer","engineering","7.868","7.868","7.868","7.868","2.396","2.396","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"devops-engineer","DevOps Engineer","engineering","8.149","2.677","2.677","7.389","2.677","2.677","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"disaster-recovery-engineer","Disaster Recovery Engineer","engineering","7.798","2.326","7.798","2.326","2.326","2.326","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"environment-architect","Environment Architect","engineering","8.072","2.6","8.072","8.072","2.6","8.072","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"environment-sync-engineer","Environment Sync Engineer","engineering","7.914","2.442","2.442","7.914","2.442","2.442","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"error-handling-engineer","Error Handling Engineer","engineering","8.101","8.101","2.629","8.101","2.629","2.629","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"experiential-engineer","Experiential Engineer","creative","8.173","8.173","8.173","2.701","2.701","2.701","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"expression-systems-designer","Expression Systems Designer","creative","8.144","8.144","8.144","2.672","8.904","8.144","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"fail-safe-systems-designer","Fail-Safe Systems Designer","engineering","8.12","8.12","8.12","2.648","2.648","8.12","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"firewall-engineer","Firewall / Exposure-Aware Engineer","engineering","7.856","2.384","7.856","2.384","2.384","2.384","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"foh-engineer","FOH Engineer","creative","8.036","8.036","2.564","6.82","2.564","2.564","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"format-standardisation-engineer","Format Standardisation Engineer","creative","2.427","7.899","2.427","2.427","8.659","2.427","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"graphic-design-engineer","Graphic Design Engineer","design","8.303","8.303","8.303","2.324","2.324","6.023","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"graphic-systems-designer","Graphic Systems Designer","design","7.868","7.868","7.868","2.396","7.868","2.396","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"human-error-reduction-engineer","Human‑Error Reduction Engineer","engineering","8.072","6.172","8.072","7.565","8.072","2.6","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"human-system-translator","Human–System Translator","design","8.12","8.12","2.648","8.12","2.648","9.64","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"idempotency-engineer","Idempotency Engineer","engineering","7.99","7.99","2.518","2.518","7.99","2.518","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"identity-architect","Identity Architect","design","8.192","8.192","2.72","2.72","2.72","8.699","runtime-keyword-derived-legacy","core:identity-systems; core:logo-design; core:design-activity; core:product-definition","not modelled","unverified","not modelled","not modelled","","required"
"immersive-media-engineer","Immersive Media Engineer","creative","2.734","8.206","2.734","8.206","2.734","2.734","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"infrastructure-engineer","Infrastructure Engineer","engineering","8.06","2.588","8.44","8.06","8.06","2.588","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"install-onboarding-engineer","Install & Onboarding Engineer","engineering","7.832","7.832","7.832","7.832","7.832","2.36","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"interactive-media-engineer","Interactive Media Engineer","creative","8.12","8.12","8.12","6.22","2.648","2.648","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"isolation-engineer","Isolation Engineer","engineering","8","6.733","8","2.528","8","2.528","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"legacy-aware-engineer","Legacy-Aware Engineer","engineering","8.043","2.571","8.043","2.571","2.571","2.571","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"lighting-systems-designer","Lighting Systems Designer","creative","8.053","8.053","8.053","2.581","2.581","2.581","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"linux-systems-administrator","Linux Systems Administrator","engineering","7.796","2.324","7.796","7.796","7.796","2.324","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"live-systems-designer","Live Systems Designer","creative","7.966","7.966","7.966","7.966","6.066","2.494","runtime-keyword-derived-legacy","core:live-field-operations; core:field-communications; core:systems-integration; core:live-operational-support","not modelled","unverified","not modelled","not modelled","houston-field-responsibility; philadelphia-field-responsibility","required"
"logo-systems-designer","Logo Systems Designer","design","7.952","7.952","7.952","2.48","2.48","2.48","runtime-keyword-derived-legacy","core:logo-design; core:logo-artwork; core:identity-systems; core:design-activity","not modelled","unverified","not modelled","not modelled","","required"
"mastering-engineer","Mastering Engineer","creative","8.084","8.084","8.084","2.612","2.612","2.612","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"meaning-architect","Meaning Architect","creative","8.226","8.732","2.754","8.226","2.754","8.226","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"media-archiving-engineer","Media Archiving Engineer","creative","7.813","7.813","7.813","7.813","2.341","2.341","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"media-consultant","Media Consultant","creative","2.307","7.779","2.307","7.779","2.307","2.307","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"media-distribution-engineer","Media Distribution Engineer","creative","2.499","7.971","8.478","8.731","2.499","2.499","runtime-keyword-derived-legacy","core:media-system; core:media-distribution-system; core:media-distribution; core:broadcast-audio-delivery; core:programme-audio-feed","not modelled","unverified","not modelled","not modelled","philadelphia-broadcast-responsibility","required"
"media-engineer","Media Engineer","creative","8.76","8","2.528","8","8","8.76","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"media-quality-engineer","Media Quality Engineer","creative","2.365","7.837","2.365","2.365","7.077","2.365","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"media-workflow-designer","Media Workflow Designer","creative","2.456","7.928","2.456","7.928","8.688","2.456","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"metadata-engineer","Metadata Engineer","creative","2.422","7.894","2.422","2.422","2.422","2.422","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"mix-engineer","Mix Engineer","creative","8.06","8.06","2.588","2.588","6.16","8.06","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"monitor-engineer","Monitor Engineer","creative","2.588","8.06","2.588","6.92","2.588","2.588","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"music-engineer","Music Engineer","creative","2.682","8.154","2.682","8.154","2.682","2.682","runtime-keyword-derived-legacy","core:music-domain; core:audio-engineering; core:audio-production","not modelled","unverified","not modelled","not modelled","","required"
"narrative-systems-thinker","Narrative Systems Thinker","creative","8.211","8.211","8.211","8.211","2.739","2.739","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"network-engineer","Network-Aware Engineer","engineering","8.292","7.988","7.988","7.988","2.516","8.748","runtime-keyword-derived-legacy","core:communications-networking; core:field-communications; core:primary-signal-path; core:fallback-signal-path","not modelled","unverified","not modelled","not modelled","houston-field-responsibility; philadelphia-field-responsibility","required"
"operations-engineer","Operations Engineer","engineering","7.94","7.94","7.94","7.94","7.94","2.468","runtime-keyword-derived-legacy","core:live-operational-support; core:reliability-engineering; core:technical-handover","not modelled","unverified","not modelled","not modelled","houston-field-responsibility; philadelphia-field-responsibility","required"
"performance-systems-engineer","Performance Systems Engineer","creative","8.082","8.082","8.082","8.588","2.61","2.61","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"permissions-identity-engineer","Permissions & Identity Engineer","engineering","7.94","7.94","7.94","7.94","2.468","8.7","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"pipeline-engineer","Pipeline Engineer","engineering","8.067","2.595","2.595","7.561","7.307","2.595","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"platform-engineer","Platform Engineer","engineering","8.108","8.108","8.108","2.636","8.108","2.636","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"post-production-audio-engineer","Post‑Production Audio Engineer","creative","2.42","7.892","2.42","2.42","2.42","2.42","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"pre-schema-logic-first-designer","Pre‑Schema / Logic‑First Designer","engineering","8.615","8.235","2.763","8.235","2.763","2.763","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"process-lifecycle-engineer","Process Lifecycle Engineer","engineering","8.019","7.259","8.019","8.019","8.019","2.547","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"projection-systems-engineer","Projection Systems Engineer","creative","8.082","8.588","8.082","2.61","2.61","2.61","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"provisioning-engineer","Provisioning Engineer","engineering","7.962","2.49","2.49","2.49","6.695","2.49","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"python-engineer","Python Engineer","engineering","7.206","2.494","7.966","7.966","7.46","7.966","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"recording-engineer","Recording Engineer","creative","7.988","7.988","2.516","2.516","2.516","7.988","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"refactor-engineer","Refactor Engineer","engineering","7.914","7.914","2.442","2.442","2.442","2.442","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"reliability-engineer","Reliability Engineer","engineering","8.108","8.108","8.108","2.636","2.636","2.636","runtime-keyword-derived-legacy","core:signal-path-resilience; core:reliability-engineering; core:fallback-signal-path; core:testing-commissioning","not modelled","unverified","not modelled","not modelled","houston-field-responsibility; philadelphia-field-responsibility","required"
"repeatability-engineer","Repeatability Engineer","engineering","7.938","2.466","2.466","2.466","7.431","2.466","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"restore-migration-engineer","Restore & Migration Engineer","engineering","7.827","2.355","7.827","2.355","2.355","2.355","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"runtime-engineer","Runtime Engineer","engineering","7.952","2.48","7.952","8.459","6.052","2.48","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"runtime-systems-engineer","Runtime Systems Engineer","engineering","8.048","2.576","8.048","4.248","2.576","2.576","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"schema-architect","Schema Architect","engineering","8.202","2.73","8.202","2.73","2.73","2.73","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"script-engineer","Script Engineer","engineering","7.861","2.389","2.389","2.389","2.389","2.389","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"sensory-design-engineer","Sensory Design Engineer","creative","8.163","8.163","8.163","2.691","2.691","6.263","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"server-engineer","Server Engineer","engineering","7.844","7.844","7.844","7.844","2.372","2.372","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"service-engineer","Service Engineer","engineering","8.125","8.125","2.653","2.653","8.885","2.653","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"signal-flow-designer","Signal Flow Designer","creative","7.976","7.976","2.504","2.504","2.504","7.976","runtime-keyword-derived-legacy","core:signal-flow-design; core:primary-signal-path; core:fallback-signal-path; core:broadcast-audio-delivery","not modelled","unverified","not modelled","not modelled","philadelphia-broadcast-responsibility; philadelphia-field-responsibility","required"
"software-engineer","Software Engineer","engineering","8.543","8.036","2.564","2.564","2.564","2.564","runtime-keyword-derived-legacy","direct:software-engineering; direct:build-activity; core:web-application; supporting:data-systems","not modelled","unverified","not modelled","not modelled","","required"
"sound-designer","Sound Designer","creative","2.54","8.392","2.54","2.54","8.012","2.54","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"sound-engineer","Sound Engineer","creative","8.072","8.452","8.072","9.592","2.6","6.552","runtime-keyword-derived-legacy","core:audio-engineering; core:studio-engineering; core:audio-medium; core:audio-production; core:physical-audio-systems; core:live-operational-support","not modelled","unverified","not modelled","not modelled","","required"
"sound-systems-designer","Sound Systems Designer","creative","8.13","8.13","8.13","8.13","2.658","2.658","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"spatial-audio-engineer","Spatial Audio Engineer","creative","2.763","8.235","2.763","2.763","2.763","2.763","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"sql-engineer","SQL Engineer","engineering","8.096","8.096","2.624","2.624","2.624","2.624","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"state-management-engineer","State Management Engineer","engineering","8.072","8.072","2.6","8.072","8.072","2.6","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"symbol-systems-designer","Symbol Systems Designer","creative","8.101","8.101","8.101","8.101","2.629","4.301","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"systems-engineer","Systems Engineer","engineering","7.98","8.132","9.145","2.66","2.66","2.66","runtime-keyword-derived-legacy","core:systems-integration; core:communications-networking; core:media-system; core:product-definition; core:testing-commissioning; core:technical-handover","not modelled","unverified","not modelled","not modelled","houston-field-responsibility; philadelphia-broadcast-responsibility; philadelphia-field-responsibility","required"
"toolchain-engineer","Toolchain Engineer","engineering","7.866","2.394","2.394","2.394","6.346","2.394","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"visual-language-engineer","Visual Language Engineer","design","2.6","8.072","2.6","2.6","4.272","2.6","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"web-design-engineer","Web Design Engineer","design","2.324","7.796","2.324","2.324","2.324","2.324","runtime-keyword-derived-legacy","direct:design-activity; core:web-application; supporting:build-activity; supporting:software-engineering","not modelled","unverified","not modelled","not modelled","","required"
"workflow-engineer","Workflow Engineer","engineering","8.014","8.014","2.542","2.542","6.684","2.542","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
"world-building-engineer","World‑Building Engineer","creative","8.259","8.259","8.259","2.787","2.787","2.787","runtime-keyword-derived-legacy","No authored tiered profile","not modelled","unverified","not modelled","not modelled","","required"
