"Concept","Service-module consumers","Hat consumers","Confirmed Work-claim consumers","Orphan/gap"
"access-control","","direct:access-control-engineer","",""
"accessibility","","","","no structured consumers"
"analytics-system","","","","no structured consumers"
"audio-engineering","","core:audio-engineer · core:broadcast-audio-engineer · core:music-engineer · core:sound-engineer","",""
"audio-medium","","core:acoustic-engineer · core:audio-engineer · core:broadcast-audio-engineer · core:sound-engineer","",""
"audio-production","activate:audio-production · required:audio-production","core:audio-engineer · core:music-engineer · core:sound-engineer","",""
"broadcast-audio-delivery","activate:broadcast-audio-delivery · required:broadcast-audio-delivery","core:broadcast-audio-engineer · core:media-distribution-engineer · core:signal-flow-designer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery",""
"broadcast-system","","","","no structured consumers"
"build-activity","","direct:application-engineer · direct:software-engineer · supporting:web-design-engineer","",""
"checkout-system","","","","no structured consumers"
"cloud-operations","activate:cloud-operations · required:cloud-operations","","",""
"communications-networking","activate:communications-network-architecture · required:communications-network-architecture · required:field-communications-design · required:physical-infrastructure-integration","core:network-engineer · core:systems-engineer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems",""
"communications-system","","","","no structured consumers"
"community-membership-platform","","","","no structured consumers"
"community-platform","activate:community-platform-definition · required:community-platform-definition","","",""
"community-publishing-platform","","","","no structured consumers"
"community-resource-platform","","","","no structured consumers"
"configure-activity","","","","no structured consumers"
"content-archive-system","","","","no structured consumers"
"content-system","activate:generic-system-definition","","",""
"data-systems","activate:data-system · required:data-system · supporting:community-platform-definition · supporting:generic-system-definition · supporting:web-application","contextual:access-control-engineer · supporting:application-engineer · supporting:software-engineer","",""
"design-activity","supporting:logo-artwork-recreation · supporting:logo-identity-design","core:identity-architect · core:logo-systems-designer · direct:web-design-engineer","",""
"designer-role","","","","no structured consumers"
"digital-platform","activate:generic-system-definition · composition:cloud-operations","","",""
