"Work context","Project","Contribution","Public summary","Summary provenance","Field-level provenance","Indexed concepts","Responsibility claims","Hat links","Evidence (declared role)","Editorial/display fields","Retrieval fields","Review status","User correction","Proposed capability events"
"unmodelled","118 Sports","118 Sports system development","Brand identity, responsive web development and cloud deployment for a live sports service.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · identity-systems · live-sport · operational-state · software-engineering · web-application","","Deployment Engineer · Identity Architect · Web Design Engineer","118 Sports project evidence [placeholder] · 118 Sports — applied identity 01 [application] · 118 Sports — applied identity 02 [application] · 118 Sports — applied identity 03 [application] · 118 Sports — design-language study 01 [process] · 118 Sports — design-language study 02 [process] · 118 Sports — design-language study 03 [process] · 118 Sports — design-language study 04 [process] · 118 Sports — identity development 01 [identity] · 118 Sports — identity development 02 [identity] · 118 Sports — website and digital experience [cover]","brand-experience-systems:secondary · infrastructure-operations:secondary · software-web-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","2XU — Wetsuit Testing","Distribution systems","Engineering of reliable distribution paths supporting the test environment.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · reliability-engineering","","Signal Flow Designer · Systems Engineer","Testing 2XU Wetsuits | Propel P:1 P:2 Propel Pro [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","BambooGraph","BambooGraph system development","Early software research exploring a graph-based product model and the systems needed to make it useful.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · make-activity · operate-activity · software-engineering · web-application","","Concept Engineer · Data Modeler · Systems Engineer","BambooGraph project evidence [placeholder] · BambooGraph — interface study 01 [interface] · BambooGraph — interface study 02 [interface] · BambooGraph — interface study 03 [interface] · BambooGraph — website and digital experience [cover]","software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Best Indies","Best Indies system development","Identity, content structure and web-experience direction for an independent-products project.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · software-engineering · web-application","","Identity Architect · Logo Systems Designer · Web Design Engineer","Best Indies project evidence [placeholder] · Best Indies — identity development 01 [identity] · Best Indies — interface study 01 [interface] · Best Indies — interface study 02 [interface] · Best Indies — website and digital experience [cover]","brand-experience-systems:primary · software-web-engineering:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Bjórr","Bjórr system development","Development of an adaptive learning framework, online school and teaching platform designed around different learners, subjects and pathways through knowledge.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity","","Concept Engineer · Identity Architect","Bjórr emblem — lowercase b [identity] · Bjórr emblem — uppercase B [identity] · Bjórr identity-system presentation [identity]","brand-experience-systems:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","The Orb","Live sound-system design and installation","System preparation and live audio engineering for a festival performance environment.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","audio-engineering · audio-medium · design-activity · engineer-role · install-activity · operational-state · physical-audio-systems","","FOH Engineer · Live Systems Designer · Sound Systems Designer","The Orb · Live from bluedot 2018 [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Bonsai Tree of Life","Bonsai Tree of Life system development","Product and data architecture for a structured web-system project, with its delivery model in development.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · engineer-role · operate-activity · software-engineering · web-application","","Data Modeler · Systems Engineer · Web Design Engineer","Bonsai Tree of Life project evidence [placeholder] · Bonsai Tree of Life — website and digital experience [cover]","infrastructure-operations:secondary · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Bristow — Operational Excellence","Electronics systems engineering","Systems-level electronics contribution in an operational environment.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","electronics-integration · engineer-role · operational-state","","Operations Engineer · Reliability Engineer · Systems Engineer","Bristow Operational Excellence Video [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Cannvent","Cannvent application experience","Design and development of the product-facing Cannvent application: a dedicated interface component translating the brand into functional software rather than a marketing website alone.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","design-activity · identity-systems · operate-activity · product-definition · software-engineering · web-application","","","Cannvent App — personal wellness workspace [interface]","brand-experience-systems:secondary · project featured · software-web-engineering:primary · system-product-definition:secondary · work sequence 3","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Cannvent","Cannvent Space community platform","A separate community and participation surface for Cannvent, requiring its own information architecture, interface behaviour and translation of the wider brand language.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","community-platform · identity-systems · operate-activity · product-definition · software-engineering · web-application","","","Cannvent Space — public knowledge and community surface [interface]","brand-experience-systems:secondary · project featured · software-web-engineering:primary · system-product-definition:secondary · work sequence 2","derived semantic signature","review-required","","none — assessment not yet modelled"
