"Concept","Label","Type","Definition","Source","Aliases/phrases","Parent","Children","Typed relationships and traversal","Modules","Hat coverage","Confirmed Work claims","Review"
"access-control","Access control","system-layer","Defining and enforcing permission, trust and security boundaries around systems and data.","semantic-concept-extensions.json","access control · authentication · authorisation · authorization · login · permission enforcement · permissions · role permissions · role-based access · secure zones · security boundary · user accounts","","","","","direct:access-control-engineer","","review-required"
"accessibility","Accessibility","quality","The quality of remaining usable and understandable across differing access needs.","semantic-concept-extensions.json","accessibility · accessible · inclusive","","","","","","","review-required"
"analytics-system","Analytics system","system-layer","A data system centred on measurement and interpretation.","semantic-concept-extensions.json","analytics system","data-systems","","CHILD_OF:data-systems:activating-broader-context","","","","review-required"
"audio-engineering","Audio engineering","activity","An engineering capability family spanning sound systems, signal flow, recording, broadcast and live audio.","semantic-concept-extensions.json","audio engineer · audio engineering · sound engineer · sound engineering","","","legacy-related:audio-medium:one-hop-context-only · legacy-related:audio-production:one-hop-context-only · legacy-related:broadcast-audio-delivery:one-hop-context-only · legacy-related:physical-audio-systems:one-hop-context-only","","core:audio-engineer · core:broadcast-audio-engineer · core:music-engineer · core:sound-engineer","","review-required"
"audio-medium","Audio","medium","Sound treated as a technical medium, production material or delivery signal.","semantic-concept-extensions.json","audio · sound","","","legacy-related:audio-production:one-hop-context-only · legacy-related:broadcast-audio-delivery:one-hop-context-only · legacy-related:physical-audio-systems:one-hop-context-only","","core:acoustic-engineer · core:audio-engineer · core:broadcast-audio-engineer · core:sound-engineer","","review-required"
"audio-production","Audio production","activity","Creating or transforming audio as media.","semantic-concepts-core.json","audio production · mixing · recording · sound design","","","legacy-related:broadcast-audio-delivery:one-hop-context-only · legacy-related:media-distribution:one-hop-context-only","activate:audio-production · required:audio-production","core:audio-engineer · core:music-engineer · core:sound-engineer","","review-required"
"broadcast-audio-delivery","Broadcast-audio delivery","workflow","Routing and delivering live programme audio into a broadcast workflow and audience output.","semantic-concepts-core.json","audio routed to transmission · broadcast audio · broadcast feed · broadcast-audio · feed into broadcast · radio broadcast · routed to transmission","","","legacy-related:live-broadcast:one-hop-context-only · legacy-related:media-distribution:one-hop-context-only · legacy-related:programme-audio-feed:one-hop-context-only · legacy-related:signal-flow-design:one-hop-context-only","activate:broadcast-audio-delivery · required:broadcast-audio-delivery","core:broadcast-audio-engineer · core:media-distribution-engineer · core:signal-flow-designer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery","review-required"
"broadcast-system","Broadcast system","object","A system carrying programme material into a live or scheduled broadcast output.","semantic-concept-extensions.json","broadcast infrastructure · broadcast system","media-system","","CHILD_OF:media-system:activating-broader-context · legacy-related:broadcast-audio-delivery:one-hop-context-only","","","","review-required"
"build-activity","Build","activity","Implementing or assembling a defined digital or physical system.","semantic-concept-extensions.json","build · building · create","","","","","direct:application-engineer · direct:software-engineer · supporting:web-design-engineer","","review-required"
"checkout-system","Checkout system","object","A transaction component handling basket, checkout and purchase completion within a wider digital service.","semantic-concept-extensions.json","checkout · checkout system · payment checkout · purchase flow","web-application","","CHILD_OF:web-application:activating-broader-context · PART_OF:ecommerce-storefront:non-activating · legacy-related:data-systems:one-hop-context-only · legacy-related:systems-integration:one-hop-context-only","","","","review-required"
"cloud-operations","Cloud deployment and operations","system-layer","The runtime and release environment sustaining a live digital service.","semantic-concepts-core.json","ci/cd · cloud · cloud server · deployment · hosting","","","legacy-related:software-engineering:one-hop-context-only","activate:cloud-operations · required:cloud-operations","","","review-required"
"communications-networking","Communications networking","system-layer","Connected paths and endpoints that carry operational communications.","semantic-concepts-core.json","comms network · communications network · networked communications · telecom network","","","legacy-related:field-communications:one-hop-context-only · legacy-related:systems-integration:one-hop-context-only","activate:communications-network-architecture · required:communications-network-architecture · required:field-communications-design · required:physical-infrastructure-integration","core:network-engineer · core:systems-engineer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems","review-required"
"communications-system","Communications system","object","An operational system carrying communications between connected participants or endpoints.","semantic-concept-extensions.json","communication system · communications system","","","legacy-related:communications-networking:one-hop-context-only · legacy-related:field-communications:one-hop-context-only","","","","review-required"
"community-membership-platform","Community membership platform","object","A community service centred on accounts, membership and participation.","semantic-concept-extensions.json","community membership","community-platform","","CHILD_OF:community-platform:activating-broader-context","","","","review-required"
"community-platform","Community platform","object","An umbrella digital service supporting participation, publishing, membership or shared resources for a community.","semantic-concept-extensions.json","community platform · community service","","community-membership-platform · community-publishing-platform · community-resource-platform","PARENT_OF:community-membership-platform:non-lexical · PARENT_OF:community-publishing-platform:non-lexical · PARENT_OF:community-resource-platform:non-lexical","activate:community-platform-definition · required:community-platform-definition","","","review-required"
"community-publishing-platform","Community publishing platform","object","A community service centred on creating and distributing shared content.","semantic-concept-extensions.json","community publishing","community-platform","","CHILD_OF:community-platform:activating-broader-context","","","","review-required"
"community-resource-platform","Community resource platform","object","A community service centred on discovering and sharing structured resources.","semantic-concept-extensions.json","community resources","community-platform","","CHILD_OF:community-platform:activating-broader-context","","","","review-required"
"configure-activity","Configure","activity","Setting system relationships and operating parameters.","semantic-concept-extensions.json","configuration · configure · set up","","","","","","","review-required"
"content-archive-system","Content archive system","object","A system retaining and exposing archived content.","semantic-concept-extensions.json","content archive system","content-system","","CHILD_OF:content-system:activating-broader-context","","","","review-required"
"content-system","Content system","object","An umbrella system for structuring, creating, managing and publishing content across destinations.","semantic-concept-extensions.json","content system · publishing system","","content-archive-system · editorial-content-system · multiformat-publishing-system · product-catalogue","PARENT_OF:content-archive-system:non-lexical · PARENT_OF:editorial-content-system:non-lexical · PARENT_OF:multiformat-publishing-system:non-lexical","activate:generic-system-definition","","","review-required"
"data-systems","Data systems","system-layer","Structured models and operations for storing, interpreting and presenting information.","semantic-concepts-core.json","data model · data system · database · information system","","analytics-system · knowledge-system · operational-data-system","PARENT_OF:analytics-system:non-lexical · PARENT_OF:knowledge-system:non-lexical · PARENT_OF:operational-data-system:non-lexical · legacy-related:product-definition:one-hop-context-only · legacy-related:software-engineering:one-hop-context-only","activate:data-system · required:data-system · supporting:community-platform-definition · supporting:generic-system-definition · supporting:web-application","contextual:access-control-engineer · supporting:application-engineer · supporting:software-engineer","","review-required"
"design-activity","Design","activity","Defining form, behaviour, structure or experience before implementation.","semantic-concept-extensions.json","design · designing","","","","supporting:logo-artwork-recreation · supporting:logo-identity-design","core:identity-architect · core:logo-systems-designer · direct:web-design-engineer","","review-required"
"designer-role","Design role","workflow","A request to discover design capabilities relevant to another resolved object, medium or environment.","semantic-concept-extensions.json","designer","","","","","","","review-required"
"digital-platform","Digital platform","object","An umbrella digital service whose audience, data, participation and operating model still need to be resolved.","semantic-concept-extensions.json","digital platform · online platform","","","PARENT_OF:community-platform:non-lexical · PARENT_OF:data-systems:non-lexical · PARENT_OF:streaming-platform:non-lexical · PARENT_OF:web-application:non-lexical","activate:generic-system-definition · composition:cloud-operations","","","review-required"
"ecommerce-storefront","Ecommerce storefront","object","A public digital commerce surface supporting product discovery and purchase journeys.","semantic-concept-extensions.json","digital storefront · e-commerce · e-commerce site · eccomerce · ecommerce · ecommerce site · online shop · online storefront · web shop","web-application","","CHILD_OF:web-application:activating-broader-context · legacy-related:data-systems:one-hop-context-only · legacy-related:product-definition:one-hop-context-only · legacy-related:software-engineering:one-hop-context-only","","","","review-required"
"editorial-content-system","Editorial content system","object","A system supporting editorial creation and governance.","semantic-concept-extensions.json","editorial content system","content-system","","CHILD_OF:content-system:activating-broader-context","","","","review-required"
"electronics-integration","Electronics integration","activity","Integrating electronic hardware and embedded control into a working physical system.","semantic-concepts-core.json","electronics · embedded · firmware · hardware · pcb · sensor","","","legacy-related:systems-integration:one-hop-context-only · legacy-related:testing-commissioning:one-hop-context-only","activate:electronics-integration · required:electronics-integration","","","review-required"
"engineer-role","Engineering role","workflow","A request to discover engineering capabilities relevant to another resolved object, medium or environment.","semantic-concept-extensions.json","engineer · engineering","","","","","","","review-required"
"fallback-signal-path","Backup communications path","object","An alternate route retained to preserve operation when the primary path is unavailable.","semantic-concepts-core.json","backup communications path · backup communications paths · backup path · fallback path · fallback signal path · secondary route","","","legacy-related:reliability-engineering:one-hop-context-only · legacy-related:signal-path-resilience:one-hop-context-only","activate:signal-path-redundancy · required:signal-path-redundancy","core:network-engineer · core:reliability-engineer · core:signal-flow-designer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems","review-required"
"field-communications","Field communications","object","Communications systems used by teams operating within a live field environment.","semantic-concepts-core.json","comms · field comms · field communications · pitch communications · pitch-side communications · pitch-side telecom · pitchside communications · pitchside telecom · sideline communications · tele communications · telecommunications","","","legacy-related:communications-networking:one-hop-context-only · legacy-related:live-field-operations:one-hop-context-only · legacy-related:signal-path-resilience:one-hop-context-only","activate:field-communications-design · required:field-communications-design","core:live-systems-designer · core:network-engineer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems","review-required"
"field-recording","Field recording","activity","Capturing audio within a live or location environment.","semantic-concept-extensions.json","field recording · location recording","","","legacy-related:audio-production:one-hop-context-only · legacy-related:live-field-operations:one-hop-context-only","","","","review-required"
"hardware-product","Hardware product","object","A physical product combining electronic, embedded, mechanical or software-controlled behaviour.","semantic-concept-extensions.json","device product · embedded product · hardware product","","","","","","","review-required"
"identity-systems","Identity systems","object","A coherent system by which an organisation or product is recognised.","semantic-concepts-core.json","brand · brand system · identity · visual language","","organisational-identity · product-identity · visual-language-system","PARENT_OF:organisational-identity:non-lexical · PARENT_OF:product-identity:non-lexical · PARENT_OF:visual-language-system:non-lexical","activate:identity-system · required:identity-system · supporting:logo-identity-design","core:identity-architect · core:logo-systems-designer","","review-required"
"install-activity","Install","activity","Placing, connecting and commissioning a system in its operating environment.","semantic-concept-extensions.json","fit · install · installation","","","","","","","review-required"
"interactive-media-installation","Interactive media installation","object","A physical experience whose media responds to people, state or environment.","semantic-concept-extensions.json","interactive installation · interactive media installation","media-system","","CHILD_OF:media-system:activating-broader-context · legacy-related:systems-integration:one-hop-context-only","","","","review-required"
"knowledge-system","Knowledge system","system-layer","A structured system for connecting, interpreting and retrieving knowledge.","semantic-concept-extensions.json","knowledge system","data-systems","","CHILD_OF:data-systems:activating-broader-context","","","","review-required"
"live-broadcast","Live broadcast","environment","A time-critical media workflow producing a live audience output.","semantic-concepts-core.json","broadcast channel · live broadcast · ob · outside broadcast · sport broadcast · sports broadcast","","","legacy-related:broadcast-audio-delivery:one-hop-context-only · legacy-related:live-sport:one-hop-context-only","activate:broadcast-audio-delivery","core:broadcast-audio-engineer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery","review-required"
"live-environment","Live environment","environment","An operating context where technical decisions and delivery occur in real time.","semantic-concept-extensions.json","live event environment · live production environment","","","legacy-related:live-broadcast:one-hop-context-only · legacy-related:live-field-operations:one-hop-context-only · legacy-related:live-operational-support:one-hop-context-only","","","","review-required"
"live-field-operations","Live field operations","environment","Time-critical technical operation within a live sporting field environment.","semantic-concepts-core.json","field · field operations · live field · pitch-side · sideline · stadium","","","legacy-related:field-communications:one-hop-context-only · legacy-related:live-sport:one-hop-context-only","activate:field-communications-design · activate:live-operational-support · supporting:field-communications-design","core:live-systems-designer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems","review-required"
